Country,Date,Doses,Funder,ISO3,NewPipeline,Pipeline,Source_Url,Vaccine,c9
South Sudan,June,59,000,Private Sector,SSD,Private Sector,Other,https://app.powerbi.com/view?r=eyJrIjoiNmE0YjZiNzUtZjk2OS00ZTg4LThlMzMtNTRhNzE0NzA4YmZlIiwidCI6Ijc3NDEwMTk1LTE0ZTEtNGZiOC05MDRiLWFiMTg5MjAyMzY2NyIsImMiOjh9&pageName=ReportSectiona329b3eafd86059a947b,AstraZeneca,
Pakistan,June,6,724,984,Procured,PAK,Procured,Other,https://app.powerbi.com/view?r=eyJrIjoiNmE0YjZiNzUtZjk2OS00ZTg4LThlMzMtNTRhNzE0NzA4YmZlIiwidCI6Ijc3NDEwMTk1LTE0ZTEtNGZiOC05MDRiLWFiMTg5MjAyMzY2NyIsImMiOjh9&pageName=ReportSectiona329b3eafd86059a947b,,
Mozambique,June,60,000,China,MOZ,China,Other,https://app.powerbi.com/view?r=eyJrIjoiNmE0YjZiNzUtZjk2OS00ZTg4LThlMzMtNTRhNzE0NzA4YmZlIiwidCI6Ijc3NDEwMTk1LTE0ZTEtNGZiOC05MDRiLWFiMTg5MjAyMzY2NyIsImMiOjh9&pageName=ReportSectiona329b3eafd86059a947b,Sinopharm,
Libya,June,100,000,Procured,LBY,Procured,Other,https://www.libyaherald.com/2021/08/13/a-consignment-of-117600-doses-of-astra-zeneca-anti-coronavirus-vaccines-land-in-tripoli/,Sputnik V,
Iraq,June,500,000,Procured,IRQ,Procured,Other,https://app.powerbi.com/view?r=eyJrIjoiNmE0YjZiNzUtZjk2OS00ZTg4LThlMzMtNTRhNzE0NzA4YmZlIiwidCI6Ijc3NDEwMTk1LTE0ZTEtNGZiOC05MDRiLWFiMTg5MjAyMzY2NyIsImMiOjh9&pageName=ReportSectiona329b3eafd86059a947b,Sinopharm,
Iraq,June,50,000,Procured,IRQ,Procured,Other,https://app.powerbi.com/view?r=eyJrIjoiNmE0YjZiNzUtZjk2OS00ZTg4LThlMzMtNTRhNzE0NzA4YmZlIiwidCI6Ijc3NDEwMTk1LTE0ZTEtNGZiOC05MDRiLWFiMTg5MjAyMzY2NyIsImMiOjh9&pageName=ReportSectiona329b3eafd86059a947b,Pfizer/BioNTech,
Colombia,June,3,300,045,Procured,COL,Procured,Other,https://app.powerbi.com/view?r=eyJrIjoiNmE0YjZiNzUtZjk2OS00ZTg4LThlMzMtNTRhNzE0NzA4YmZlIiwidCI6Ijc3NDEwMTk1LTE0ZTEtNGZiOC05MDRiLWFiMTg5MjAyMzY2NyIsImMiOjh9&pageName=ReportSectiona329b3eafd86059a947b,,
Pakistan,July,2,500,030,USA,PAK,COVAX/USA,COVAX,https://reliefweb.int/report/pakistan/25-million-doses-covid-19-vaccine-supplied-through-covax-start-being-rolled-out,Moderna,
Colombia,July,2,500,000,USA,COL,COVAX/USA,COVAX,https://newsday.co.tt/2021/07/05/us-donates-covid19-vaccines-to-7-latin-american-countries/,Johnson & Johnson,
Mozambique,July,110,000,Portugal,MOZ,Portugal,Other,https://www.unicef.org/supply/covid-19-vaccine-market-dashboard,AstraZeneca,
