Country,Date,Doses,Funder,ISO3,NewPipeline,Pipeline,Source_Url,Vaccine,c9
Pakistan,September,3,000,000,Procured,PAK,Procured,Other,https://radio.gov.pk/15-09-2021/3-million-doses-of-sinovac-covid-19-vaccines-arrive-islamabad-from-china,Sinovac,
Yemen,September,356,800,Italy,YEM,COVAX/Italy,COVAX,https://www.reuters.com/business/healthcare-pharmaceuticals/yemen-receives-third-batch-covid-19-vaccines-2021-09-23/,AstraZeneca,
Libya,September,144,000,Denmark,LBY,COVAX/Denmark,COVAX,https://www.libyaherald.com/2021/09/23/denmark-donates-114000-doses-of-astrazeneca-vaccines-to-libya/,AstraZeneca,
Iraq,September,249,600,Global,IRQ,COVAX/Global,COVAX,https://www.unicef.org/supply/covid-19-vaccine-market-dashboard,,
Mozambique,September,336,000,USA,MOZ,COVAX/USA,COVAX,https://twitter.com/mlfornara/status/1442725608346341376,Johnson & Johnson,
DRC,September,200,070,Global,COD,COVAX/Global,COVAX,https://www.unicef.org/supply/covid-19-vaccine-market-dashboard,,
Syria,September,7,200,Finland,SYR,COVAX/Finland,COVAX,https://finlandabroad.fi/web/syr/foreign-ministry-s-press-releases/-/asset_publisher/kyaK4Ry9kbQ0/content/suomi-lahjoittaa-kayttamattomaksi-jaavia-koronarokotteita-globaalin-rokotekattavuuden-parantamiseksi/35732,AstraZeneca,
Syria,September,4,100,Iceland,SYR,COVAX/Iceland,COVAX,https://www.unicef.org/supply/covid-19-vaccine-market-dashboard,AstraZeneca,
El Salvador,September,837,650,Procured,SLV,Procured,Other,https://www.unicef.org/supply/covid-19-vaccine-market-dashboard,,
Syria,September,192,000,Switzerland,SYR,COVAX/Switzerland,COVAX,https://www.unicef.org/supply/covid-19-vaccine-market-dashboard,AstraZeneca,
Somalia,September,12,000,Global,SOM,COVAX/Global,COVAX,https://www.unicef.org/supply/covid-19-vaccine-market-dashboard,,
Iraq,September,520,370,Unknown,IRQ,Unknown,Other,https://www.unicef.org/supply/covid-19-vaccine-market-dashboard,,
Zimbabwe,September,366,000,Global,ZWE,COVAX/Global,COVAX,https://www.unicef.org/supply/covid-19-vaccine-market-dashboard,,
DRC,September,50,310,Global,COD,COVAX/Global,COVAX,https://www.unicef.org/supply/covid-19-vaccine-market-dashboard,,
Guatemala,September,500,000,Procured,GTM,Procured,Other,https://www.swissinfo.ch/spa/coronavirus-guatemala_guatemala-supera-las-10-millones-de-dosis-de-vacunas-anticovd-19-recibidas/46980944,Sputnik V,
Iraq,September,1,155,600,Global,IRQ,COVAX/Global,COVAX,https://www.unicef.org/supply/covid-19-vaccine-market-dashboard,,
Myanmar,September,1,000,000,China,MMR,China,Other,https://theglobalherald.com/news/china-donates-medical-supplies-to-myanmar/,Sinopharm,
Myanmar,September,635,253,Unknown,MMR,Unknown,Other,https://www.unicef.org/supply/covid-19-vaccine-market-dashboard,,
Myanmar,September,4,000,000,Procured,MMR,Procured,Other,http://www.xinhuanet.com/english/asiapacific/2021-09/12/c_1310183614.htm,Sinopharm,
oPt,September,272,582,Unknown,PSE,Unknown,Other,https://www.unicef.org/supply/covid-19-vaccine-market-dashboard,,
Pakistan,September,3,705,582,Procured,PAK,Procured,Other,https://www.unicef.org/supply/covid-19-vaccine-market-dashboard,,
Ukraine,September,791,633,Procured,UKR,Procured,Other,https://www.unicef.org/supply/covid-19-vaccine-market-dashboard,,
Venezuela,September,2,389,761,Unknown,VEN,Unknown,Other,https://www.unicef.org/supply/covid-19-vaccine-market-dashboard,,
Colombia,September,1,396,688,Procured,COL,Procured,Other,https://www.elpais.com.co/colombia/llegaron-a-colombia-1-4-millones-de-dosis-de-vacuna-anticovid-de-moderna.html,Moderna,
Chad,October,170,300,USA,TCD,COVAX/USA,COVAX,https://td.usembassy.gov/press-statement-for-covax-gavi-vaccine-delivery-to-chad/,Johnson & Johnson,
Mali,October,835,200,Global,MLI,COVAX/Global,COVAX,https://www.unicef.org/supply/covid-19-vaccine-market-dashboard,Sinovac,
Niger,October,244,566,Global,NER,COVAX/Global,COVAX,https://www.unicef.org/supply/covid-19-vaccine-market-dashboard,,
Nigeria,October,501,600,France,NGA,COVAX/France,COVAX,https://www.reuters.com/world/africa/france-donates-covid-19-vaccine-nigeria-under-covax-scheme-2021-10-14/,AstraZeneca,
oPt,October,65,129,Unknown,PSE,Unknown,Other,https://www.unicef.org/supply/covid-19-vaccine-market-dashboard,,
Somalia,October,231,600,Global,SOM,COVAX/Global,COVAX,https://www.unicef.org/supply/covid-19-vaccine-market-dashboard,,
Syria,October,36,480,Global,SYR,COVAX/Global,COVAX,https://www.unicef.org/supply/covid-19-vaccine-market-dashboard,,
Honduras,October,730,592,Unknown,HND,Unknown,Other,https://www.unicef.org/supply/covid-19-vaccine-market-dashboard,,
Ethiopia,October,606,000,Global,ETH,COVAX/Global,COVAX,https://www.unicef.org/supply/covid-19-vaccine-market-dashboard,,
Ukraine,August,1,512,000,Germany,UKR,Germany,Other,https://reliefweb.int/report/world/fighting-covid-19-together-spirit-solidarity-germany-donates-vaccines,,
Ukraine,October,435,448,Procured,UKR,Procured,Other,https://www.unicef.org/supply/covid-19-vaccine-market-dashboard,,
Colombia,October,30,600,Global,COL,COVAX/Global,COVAX,https://www.unicef.org/supply/covid-19-vaccine-market-dashboard,,
Colombia,October,1,153,903,Procured,COL,Procured,Other,https://www.unicef.org/supply/covid-19-vaccine-market-dashboard,,
Libya,October,144,000,Global,LBY,COVAX/Global,COVAX,https://www.unicef.org/supply/covid-19-vaccine-market-dashboard,,
Pakistan,October,6,122,086,Procured,PAK,Procured,Other,https://www.unicef.org/supply/covid-19-vaccine-market-dashboard,,
Pakistan,October,3,000,000,Procured,PAK,Procured,Other,https://arynews.tv/7m-more-covid-vaccine-doses-arrive-in-pakistan/,Sinopharm,
Pakistan,October,3,000,000,Procured,PAK,Procured,Other,https://arynews.tv/7m-more-covid-vaccine-doses-arrive-in-pakistan/,Sinovac,
Pakistan,October,1,000,000,Procured,PAK,Procured,Other,https://arynews.tv/7m-more-covid-vaccine-doses-arrive-in-pakistan/,Sputnik V,
Pakistan,October,3,188,418,Procured,PAK,Procured,Other,https://www.unicef.org/supply/covid-19-vaccine-market-dashboard,,
Zimbabwe,October,577,200,Global,ZWE,COVAX/Global,COVAX,https://www.unicef.org/zimbabwe/press-releases/zimbabwe-receives-nearly-one-million-covid-19-vaccine-doses-covax,,
El Salvador,June,100,800,Mexico,SLV,Mexico,Other,https://www.gob.mx/sre/prensa/mexico-donates-400-800-doses-of-covid-19-vaccines-and-three-tons-of-medical-supplies-to-guatemala-el-salvador-and-honduras?idiom=en,AstraZeneca,
Mozambique,October,314,443,Global,MOZ,COVAX/Global,COVAX,https://www.unicef.org/supply/covid-19-vaccine-market-dashboard,,
Nigeria,October,434,400,African Vaccine Acquisition Trust,NGA,African Vaccine Acquisition Trust,Other,https://www.unicef.org/supply/covid-19-vaccine-market-dashboard,,
Mozambique,October,96,037,Global,MOZ,COVAX/Global,COVAX,https://www.unicef.org/supply/covid-19-vaccine-market-dashboard,,
oPt,October,327,791,Unknown,PSE,Unknown,Other,https://www.unicef.org/supply/covid-19-vaccine-market-dashboard,,
Pakistan,October,6,275,658,Procured,PAK,Procured,Other,https://www.unicef.org/supply/covid-19-vaccine-market-dashboard,,
Sudan,October,1,617,600,Global,SDN,COVAX/Global,COVAX,https://www.unicef.org/supply/covid-19-vaccine-market-dashboard,,
Sudan,October,499,590,USA,SDN,COVAX/USA,COVAX,https://www.unicef.org/sudan/press-releases/joint-press-release-sudan-receives-first-round-pfizer-vaccinations,Pfizer/BioNTech,
Ukraine,October,2,134,680,Procured,UKR,Procured,Other,https://www.unicef.org/supply/covid-19-vaccine-market-dashboard,,
Venezuela,October,900,000,Procured,VEN,Procured,Other,https://www.telesurtv.net/news/venezuela-recibe-dosis-vacunas-anticovid-oms-20211010-0010.html,Abdala ,
Venezuela,October,2,594,000,Global,VEN,COVAX/Global,COVAX,https://www.telesurtv.net/news/venezuela-recibe-dosis-vacunas-anticovid-oms-20211010-0010.html,,
Venezuela,October,795,000,Procured,VEN,Procured,Other,https://www.el-carabobeno.com/arriban-a-venezuela-795-mil-nuevas-dosis-de-la-sputnik-v/,Sputnik V,
Honduras,October,250,000,USA,HND,COVAX/USA,COVAX,https://www.paho.org/es/noticias/5-10-2021-honduras-recibe-lote-250000-vacunas-moderna-donadas-por-estados-unidos-traves,Moderna,
Honduras,October,81,900,USA,HND,COVAX/USA,COVAX,https://proceso.hn/honduras-recibe-mas-de-81-mil-dosis-de-vacunas-de-pfizer-donadas-por-eeuu/,Pfizer/BioNTech,
Honduras,October,65,140,Global,HND,COVAX/Global,COVAX,https://www.unicef.org/supply/covid-19-vaccine-market-dashboard,,
Honduras,October,197,840,Procured,HND,Procured,Other,https://www.unicef.org/supply/covid-19-vaccine-market-dashboard,,
Honduras,October,9,111,Unknown,HND,Unknown,Other,https://www.unicef.org/supply/covid-19-vaccine-market-dashboard,,
Colombia,September,1,249,200,Procured,COL,Procured,Other,https://www.elcolombiano.com/colombia/salud/colombia-suma-otras-12-millones-de-vacunas-MG15758127,Johnson & Johnson,
Colombia,October,805,700,Procured,COL,Procured,Other,https://www.semana.com/nacion/articulo/llegaron-a-colombia-805700-dosis-de-vacunas-de-moderna/202150/,Moderna,
Colombia,October,828,993,Procured,COL,Procured,Other,https://www.unicef.org/supply/covid-19-vaccine-market-dashboard,,
CAR,July,150,000,China,CAF,China,Other,https://reliefweb.int/report/central-african-republic/central-african-republic-situation-report-11-july-2021,Sinovac,
Ethiopia,August,200,000,China,ETH,China,Other,https://www.fanabc.com/english/defense-ministry-of-china-donates-200000-doses-of-covid-19-vaccine-to-its-ethiopian-counterpart/,Sinovac,
Ethiopia,June,100,000,China,ETH,China,Other,https://finance.sina.com.cn/tech/2021-06-20/doc-ikqcfnca2053196.shtml,Sinopharm,
Mozambique,October,488,400,Global,MOZ,COVAX/Global,COVAX,https://www.unicef.org/supply/covid-19-vaccine-market-dashboard,,
Niger,October,244,566,Global,NER,COVAX/Global,COVAX,https://www.unicef.org/supply/covid-19-vaccine-market-dashboard,,
Nigeria,October,2,174,400,Global,NGA,COVAX/Global,COVAX,https://www.unicef.org/supply/covid-19-vaccine-market-dashboard,,
oPt,July,250,000,China,PSE,China,Other,https://www.fmprc.gov.cn/mfa_eng/zxxx_662805/t1893587.shtml,Sinovac,
oPt,July ,250,000,Egypt,PSE,Egypt,Other,https://www.fmprc.gov.cn/mfa_eng/zxxx_662805/t1893587.shtml,Sinovac,
Syria,October,30,720,Global,SYR,COVAX/Global,COVAX,https://www.unicef.org/supply/covid-19-vaccine-market-dashboard,,
Ukraine,October,346,492,Procured,UKR,Procured,Other,https://www.unicef.org/supply/covid-19-vaccine-market-dashboard,,
El Salvador,October,125,190,Procured,SLV,Procured,Other,https://www.unicef.org/supply/covid-19-vaccine-market-dashboard,,
Burkina Faso,,50,000,Belgium,BFA,COVAX/Belgium,COVAX,https://www.unicef.org/supply/covid-19-vaccine-market-dashboard,AstraZeneca,
Burkina Faso,,57,600,Sweden,BFA,COVAX/Sweden,COVAX,https://www.unicef.org/supply/covid-19-vaccine-market-dashboard,AstraZeneca,
Colombia,October,2,027,400,Procured,COL,Procured,Other,https://noticias.canal1.com.co/nacional/colombia-recibio-2-027-400-dosis-de-vacunas-de-astrazeneca/,AstraZeneca,
Myanmar,October,4,000,000,Procured,MMR,Procured,Other,https://newsaf.cgtn.com/news/2021-10-16/4-million-doses-of-Chinese-COVID-19-vaccines-arrive-in-Myanmar-14ogPYHvNEk/index.html,Sinopharm,
Nigeria,October,1,730,430,Global,NGA,COVAX/Global,COVAX,https://www.unicef.org/supply/covid-19-vaccine-market-dashboard,,
Pakistan,October,2,400,000,USA,PAK,COVAX/USA,COVAX,https://www.reuters.com/business/healthcare-pharmaceuticals/us-ship-24-million-doses-covid-19-vaccine-pakistan-2021-10-14/,Pfizer/BioNTech,
Pakistan,October,10,000,000,Procured,PAK,Procured,Other,https://www.unicef.org/supply/covid-19-vaccine-market-dashboard,,
Honduras,October,264,908,Unknown,HND,Unknown,Other,https://www.unicef.org/supply/covid-19-vaccine-market-dashboard,,
Burundi,October,500,000,China,BDI,China,Other,https://www.france24.com/en/live-news/20211014-in-about-face-burundi-receives-first-covid-vaccines,Sinopharm,
Burkina Faso,October,501,870,Global,BFA,COVAX/Global,COVAX,https://www.unicef.org/supply/covid-19-vaccine-market-dashboard,,
Colombia,October,126,360,Procured,COL,Procured,Other,https://www.semana.com/coronavirus/articulo/colombia-recibio-este-miercoles-126360-dosis-de-la-vacuna-de-pfizer/202111/,Pfizer/BioNTech,
Colombia,October,730,362,Procured,COL,Procured,Other,https://www.unicef.org/supply/covid-19-vaccine-market-dashboard,,
DRC,October,400,000,China,COD,China,Other,https://news.cgtn.com/news/2021-10-01/China-donates-400-000-Sinovac-vaccine-doses-to-DRC-1401GFkeOas/index.html,Sinovac,
Ethiopia,October,452,400,France,ETH,COVAX/France,COVAX,https://addisstandard.com/news-france-donates-one-million-eight-hundred-jj-covid-19-vaccines-to-ethiopia-via-covax/,AstraZeneca,
Libya,October ,240,000,Italy,LBY,Italy,Other,https://www.libyaherald.com/2021/10/01/italy-donates-240000-doses-of-astrazeneca-vaccines-to-libya/,AstraZeneca,
Mozambique,October,179,800,Norway,MOZ,COVAX/Norway,COVAX,https://clubofmozambique.com/news/mozambique-country-receives-330000-more-vaccine-doses-from-belgium-norway-203232/,AstraZeneca,
Mozambique,October,149,760,Belgium,MOZ,COVAX/Belgium,COVAX,https://clubofmozambique.com/news/mozambique-country-receives-330000-more-vaccine-doses-from-belgium-norway-203232/,AstraZeneca,
Nigeria,October,1,847,430,Global,NGA,COVAX/Global,COVAX,https://www.unicef.org/supply/covid-19-vaccine-market-dashboard,,
Somalia,October,336,500,Global,SOM,COVAX/Global,COVAX,https://www.unicef.org/supply/covid-19-vaccine-market-dashboard,,
Ukraine,October,784,190,Procured,UKR,Procured,Other,https://www.unicef.org/supply/covid-19-vaccine-market-dashboard,,
Zimbabwe,October,2,000,000,Procured,ZWE,Procured,Other,https://www.unicef.org/supply/covid-19-vaccine-market-dashboard,,
Cameroon,October,336,000,USA,CMR,COVAX/USA,COVAX,https://www.unicef.org/supply/covid-19-vaccine-market-dashboard,Johnson & Johnson,
DRC,October,756,000,African Vaccine Acquisition Trust,COD,African Vaccine Acquisition Trust,Other,https://www.unicef.org/supply/covid-19-vaccine-market-dashboard,,
Iraq,October,1,016,600,Procured,IRQ,Procured,Other,https://www.unicef.org/supply/covid-19-vaccine-market-dashboard,,
Mali,October,168,000,Global,MLI,COVAX/Global,COVAX,https://www.unicef.org/supply/covid-19-vaccine-market-dashboard,,
Mozambique,October,175,200,African Vaccine Acquisition Trust,MOZ,African Vaccine Acquisition Trust,Other,https://www.unicef.org/supply/covid-19-vaccine-market-dashboard,,
Myanmar,October,4,000,000,Procured,MMR,Procured,Other,https://newsaf.cgtn.com/news/2021-10-16/4-million-doses-of-Chinese-COVID-19-vaccines-arrive-in-Myanmar-14ogPYHvNEk/index.html,Sinopharm,
Myanmar,October,4,000,000,Procured,MMR,Procured,Other,https://news.cgtn.com/news/2021-10-23/4-million-more-doses-of-China-s-Sinopharm-vaccines-arrive-in-Myanmar-14APvs6V2Yo/index.html,Sinopharm,
Myanmar,August ,2,000,000,Procured,MMR,Procured,Other,https://elevenmyanmar.com/news/one-million-doses-of-sinovac-vaccines-arrive-in-myanmar,Sinovac,
Niger,October,234,468,Global,NER,COVAX/Global,COVAX,https://www.unicef.org/supply/covid-19-vaccine-market-dashboard,,
Nigeria,October,1,308,000,Global,NGA,COVAX/Global,COVAX,https://www.unicef.org/supply/covid-19-vaccine-market-dashboard,,
Pakistan,October,502,230,Global,PAK,COVAX/Global,COVAX,https://www.unicef.org/supply/covid-19-vaccine-market-dashboard,,
Ukraine,October,1,299,422,Procured,UKR,Procured,Other,https://www.unicef.org/supply/covid-19-vaccine-market-dashboard,,
Honduras,October,61,030,Global,HND,COVAX/Global,COVAX,https://www.unicef.org/supply/covid-19-vaccine-market-dashboard,,
Guatemala,October,151,200,Spain,GTM,COVAX/Spain,COVAX,https://www.paho.org/en/covax-americas,AstraZeneca,
Honduras,October,188,370,USA,HND,COVAX/USA,COVAX,https://www.paho.org/en/covax-americas,Pfizer/BioNTech,
Honduras,October,352,347,Procured,HND,Procured,Other,https://www.unicef.org/supply/covid-19-vaccine-market-dashboard,,
Burkina Faso,October,151,200,African Vaccine Acquisition Trust,BFA,African Vaccine Acquisition Trust,Other,https://www.unicef.org/supply/covid-19-vaccine-market-dashboard,,
Colombia,October,1,400,400,Procured,COL,Procured,Other,https://www.elheraldo.co/colombia/llegada-de-vacunas-colombia-recibio-1400400-dosis-de-moderna-este-domingo-861825,Moderna,
Colombia,October,1,094,474,Procured,COL,Procured,Other,https://www.unicef.org/supply/covid-19-vaccine-market-dashboard,,
DRC,October,149,760,Global,COD,COVAX/Global,COVAX,https://www.unicef.org/supply/covid-19-vaccine-market-dashboard,,
DRC,October,349,830,USA,COD,COVAX/USA,COVAX,https://www.unicef.org/drcongo/communiques-presse/deuxieme-cargaison-vaccins-pfizer,Pfizer/BioNTech,
Ethiopia,October,1,552,590,USA,ETH,COVAX/USA,COVAX,https://www.unicef.org/supply/covid-19-vaccine-market-dashboard,Pfizer/BioNTech,
Iraq,October,1,000,000,Procured,IRQ,Procured,Other,https://www.unicef.org/supply/covid-19-vaccine-market-dashboard,,
Mozambique,October,993,600,Global,MOZ,COVAX/Global,COVAX,https://www.unicef.org/supply/covid-19-vaccine-market-dashboard,,
Mozambique,October,429,600,African Vaccine Acquisition Trust,MOZ,African Vaccine Acquisition Trust,Other,https://www.unicef.org/supply/covid-19-vaccine-market-dashboard,,
Nigeria,October,3,638,000,USA,NGA,COVAX/USA,COVAX,https://www.unicef.org/supply/covid-19-vaccine-market-dashboard,Pfizer/BioNTech,
Pakistan,October,3,614,130,Global,PAK,COVAX/Global,COVAX,https://www.reuters.com/world/africa/us-donates-36-million-doses-pfizer-covid-19-vaccines-nigeria-state-tv-2021-10-14/,,
Pakistan,October,4,452,944,Procured,PAK,Procured,Other,https://www.unicef.org/supply/covid-19-vaccine-market-dashboard,,
Somalia,October,29,000,Global,SOM,COVAX/Global,COVAX,https://www.unicef.org/supply/covid-19-vaccine-market-dashboard,,
Somalia,October,164,000,Germany,SOM,COVAX/Germany,COVAX,https://www.unicef.org/somalia/press-releases/fight-against-covid-19-germany-donates-163000-covid-19-vaccine-doses-somalia-through,AstraZeneca,
Ukraine,October,1,896,118,Procured,UKR,Procured,Other,https://www.unicef.org/supply/covid-19-vaccine-market-dashboard,,
El Salvador,October,196,000,Procured,SLV,Procured,Other,https://diario.elmundo.sv/el-salvador-recibe-nuevo-lote-de-196-mil-vacunas-anticovid-compradas-a-pfizer/,Pfizer/BioNTech,
El Salvador,October,30,868,Unknown,SLV,Unknown,Other,https://www.unicef.org/supply/covid-19-vaccine-market-dashboard,,
El Salvador,October,716,122,Procured,SLV,Procured,Other,https://www.unicef.org/supply/covid-19-vaccine-market-dashboard,,
Honduras,October,250,040,USA,HND,COVAX/USA,COVAX,https://proceso.hn/honduras-recibe-mas-250-mil-vacunas-anticovid-donadas-por-eeuu/,Moderna,
Honduras,October,24,144,Unknown,HND,Unknown,Other,https://www.unicef.org/supply/covid-19-vaccine-market-dashboard,,
Libya,October,3,000,000,Procured,LBY,Procured,Other,https://www.unicef.org/supply/covid-19-vaccine-market-dashboard,Sinopharm,
Cameroon,November,302,400,African Vaccine Acquisition Trust,CMR,African Vaccine Acquisition Trust,Other,https://www.unicef.org/supply/covid-19-vaccine-market-dashboard,,
Colombia,November,2,000,000,Germany,COL,Germany,Other,https://www.semana.com/nacion/articulo/alemania-dono-a-colombia-mas-de-dos-millones-de-vacunas-contra-la-covid-19/202153/,Pfizer/BioNTech,
Colombia,November,92,340,Procured,COL,Procured,Other,https://www.semana.com/nacion/articulo/alemania-dono-a-colombia-mas-de-dos-millones-de-vacunas-contra-la-covid-19/202153/,Pfizer/BioNTech,
Colombia,October,2,260,800,Global,COL,COVAX/Global,COVAX,https://www.elheraldo.co/colombia/llegada-de-vacunas-colombia-recibio-2260800-dosis-de-sinovac-860177,Sinovac,
Mozambique,November,501,600,France,MOZ,COVAX/France,COVAX,https://www.unicef.org/mozambique/en/press-releases/arrival-lots-vaccines-france-covid-19-under-covax-initiative,AstraZeneca,
Nigeria,November,624,000,African Vaccine Acquisition Trust,NGA,African Vaccine Acquisition Trust,Other,https://www.unicef.org/supply/covid-19-vaccine-market-dashboard,,
Cameroon,November,199,300,Global,CMR,COVAX/Global,COVAX,https://www.unicef.org/supply/covid-19-vaccine-market-dashboard,,
Ethiopia,November,151,200,African Vaccine Acquisition Trust,ETH,African Vaccine Acquisition Trust,Other,https://www.unicef.org/supply/covid-19-vaccine-market-dashboard,,
Ethiopia,November,800,000,China,ETH,China,Other,http://global.chinadaily.com.cn/a/202110/25/WS6176037ca310cdd39bc70f24.html,Sinopharm,
Mozambique,November,572,904,Global,MOZ,COVAX/Global,COVAX,https://www.unicef.org/supply/covid-19-vaccine-market-dashboard,,
Pakistan,November,200,000,China,PAK,China,Other,https://www.fmprc.gov.cn/mfa_eng/xwfw_665399/s2510_665401/t1918963.shtml,,
Pakistan,November,4,704,000,Global,PAK,COVAX/Global,COVAX,https://www.unicef.org/supply/covid-19-vaccine-market-dashboard,,
Syria,November,1,356,000,Global,SYR,COVAX/Global,COVAX,http://www.emro.who.int/syria/news/update-on-covid-19-vaccination-in-syria-12-november-2021.html,Sinovac,
Zimbabwe,November,435,600,Global,ZWE,COVAX/Global,COVAX,https://www.unicef.org/supply/covid-19-vaccine-market-dashboard,,
Honduras,November,394,290,Procured,HND,Procured,Other,https://proceso.hn/llegan-394-mil-290-vacunas-anticovid-de-pfizer-a-honduras/,Pfizer/BioNTech,
Venezuela,November,4,351,766,Unknown,VEN,Unknown,Other,https://proceso.hn/llegan-394-mil-290-vacunas-anticovid-de-pfizer-a-honduras/,,
Haiti,November,100,100,USA,HTI,COVAX/USA,COVAX,https://www.paho.org/en/covax-americas,,
Colombia,November,1,034,200,Procured,COL,Procured,Other,https://colombia.as.com/colombia/2021/11/08/actualidad/1636326711_661784.html,AstraZeneca,
Mozambique,November,367,116,Global,MOZ,COVAX/Global,COVAX,https://www.unicef.org/supply/covid-19-vaccine-market-dashboard,,
Niger,November,425,000,Global,NER,COVAX/Global,COVAX,https://www.unicef.org/supply/covid-19-vaccine-market-dashboard,,
Pakistan,November,8,964,577,Procured,PAK,Procured,Other,https://www.unicef.org/supply/covid-19-vaccine-market-dashboard,,
Syria,November,358,800,Global,SYR,COVAX/Global,COVAX,https://www.unicef.org/supply/covid-19-vaccine-market-dashboard,Sinovac,
Syria,November,144,000,Greece,SYR,COVAX/Greece,COVAX,https://reliefweb.int/report/kenya/first-greek-covax-doses-arrive-kenya-and-syria,,
Colombia,November,1,257,858,Procured,COL,Procured,Other,https://www.unicef.org/supply/covid-19-vaccine-market-dashboard,,
Niger,November,116,200,Global,NER,COVAX/Global,COVAX,https://www.unicef.org/supply/covid-19-vaccine-market-dashboard,,
oPt,November,148,886,Unknown,PSE,Unknown,Other,https://www.unicef.org/supply/covid-19-vaccine-market-dashboard,,
Pakistan,November,2,422,501,Procured,PAK,Procured,Other,https://www.unicef.org/supply/covid-19-vaccine-market-dashboard,,
Ukraine,November,2,930,300,Global,UKR,COVAX/Global,COVAX,https://reliefweb.int/report/ukraine/unicef-delivers-close-3-million-doses-moderna-vaccine-ukraine-under-covax-enuk,Moderna,
Ukraine,November,673,005,Procured,UKR,Procured,Other,https://www.unicef.org/supply/covid-19-vaccine-market-dashboard,,
Guatemala,November,489,600,Procured,GTM,Procured,Other,https://www.swissinfo.ch/spa/coronavirus-guatemala_guatemala-recibe-lote-de-489.600-dosis-anticovid-19-astrazeneca-de-4-millones/47111134,AstraZeneca,
Guatemala,November,1,497,200,Procured,GTM,Procured,Other,https://www.unicef.org/supply/covid-19-vaccine-market-dashboard,,
Honduras,November,375,503,Procured,HND,Procured,Other,https://www.unicef.org/supply/covid-19-vaccine-market-dashboard,,
Honduras,,32,882,Unknown,HND,Unknown,Other,https://www.unicef.org/supply/covid-19-vaccine-market-dashboard,,
Burkina Faso,November,168,000,Global,BFA,COVAX/Global,COVAX,https://www.unicef.org/supply/covid-19-vaccine-market-dashboard,,
Iraq,November,1,265,940,Global,IRQ,COVAX/Global,COVAX,https://www.ndtv.com/world-news/iraq-gets-1-2-million-pfizer-covid-vaccine-doses-amid-fears-of-4th-wave-2618326,,
Iraq,November,649,350,Procured,IRQ,Procured,Other,https://www.unicef.org/supply/covid-19-vaccine-market-dashboard,,
Mozambique,November,426,780,Global,MOZ,COVAX/Global,COVAX,https://www.unicef.org/supply/covid-19-vaccine-market-dashboard,,
Mozambique,November,207,300,Belgium,MOZ,COVAX/Belgium,COVAX,https://twitter.com/BelgicaMozambiq/status/1457683870644678662,AstraZeneca,
Nigeria,November,6,809,280,Global,NGA,COVAX/Global,COVAX,https://www.unicef.org/supply/covid-19-vaccine-market-dashboard,,
oPt,November,167,441,Unknown,PSE,Unknown,Other,https://www.unicef.org/supply/covid-19-vaccine-market-dashboard,,
Pakistan,November,2,327,130,Global,PAK,COVAX/Global,COVAX,https://www.unicef.org/supply/covid-19-vaccine-market-dashboard,,
Ukraine,November,726,348,Procured,UKR,Unknown,Other,https://www.unicef.org/supply/covid-19-vaccine-market-dashboard,,
Cameroon,November,302,400,African Vaccine Acquisition Trust,CMR,African Vaccine Acquisition Trust,Other,https://www.unicef.org/supply/covid-19-vaccine-market-dashboard,,
CAR,November,88,300,Global,CAF,COVAX/Global,COVAX,https://www.unicef.org/supply/covid-19-vaccine-market-dashboard,,
Colombia,November,6,721,816,Procured,COL,Procured,Other,https://www.unicef.org/supply/covid-19-vaccine-market-dashboard,,
Ethiopia,November,1,552,590,USA,ETH,COVAX/USA,COVAX,https://reliefweb.int/report/ethiopia/united-states-donates-1552590-doses-pfizer-covid-19-vaccine-ethiopia,Pfizer/BioNTech,
Mozambique,November,840,000,USA,MOZ,COVAX/USA,COVAX,https://mz.usembassy.gov/the-united-states-donates-additional-840000-johnson-johnson-vaccines-to-mozambique/#:~:text=November%2022%2C%202021%20%E2%80%93%20The%20U.S.,Republic%20of%20Mozambique%20through%20COVAX.,Johnson & Johnson,
Mozambique,November,3,406,800,Global,MOZ,COVAX/Global,COVAX,https://health.economictimes.indiatimes.com/news/policy/govt-allows-serum-institute-to-export-50-lakh-covishield-doses-under-covax-to-four-nations/87838347,AstraZeneca,
Niger,November,638,400,USA,NER,COVAX/USA,COVAX,https://www.unicef.org/supply/covid-19-vaccine-market-dashboard,Johnson & Johnson,
Pakistan,November,1,000,800,Global,PAK,COVAX/Global,COVAX,https://www.unicef.org/supply/covid-19-vaccine-market-dashboard,,
Pakistan,November,12,786,994,Procured,PAK,Procured,Other,https://www.unicef.org/supply/covid-19-vaccine-market-dashboard,,
South Sudan,November,60,000,Global,SSD,COVAX/Global,COVAX,https://www.unicef.org/supply/covid-19-vaccine-market-dashboard,,
Ukraine,November,1,701,193,Procured,UKR,Unknown,Other,https://www.unicef.org/supply/covid-19-vaccine-market-dashboard,,
Yemen,November,100,000,Global,YEM,COVAX/Global,COVAX,https://www.unicef.org/supply/covid-19-vaccine-market-dashboard,,
Guatemala,November,1,000,350,Global,GTM,COVAX/Global,COVAX,https://www.paho.org/en/covax-americas,Pfizer/BioNTech,
Venezuela,November,2,587,200,Global,VEN,COVAX/Global,COVAX,https://www.paho.org/en/covax-americas,Sinopharm,
Honduras,November,365,098,Procured,HND,Procured,Other,https://www.unicef.org/supply/covid-19-vaccine-market-dashboard,,
